id,user_id,event_id,star_rating
358,VnqelXTdijaiyKk1oQUBID2s4Ez2,27,5
359,YaC4mOqm1xU4XJjOqEddexcC9gS2,36,4
368,FiKKKHBqv5UqHVzUFL2HtaVj6ov1,36,5
369,YC7iz2tEsQdM7SVfpXNRBAneCu13,36,5
370,nbux9tUld9QGNFpMKOlpsDnHMhE3,36,5
374,uZ0I7c39W9P1DG68sKy3cPA22FZ2,36,5
377,zBAxylyARCbplgnvTInyAAGeoQx1,36,4
378,LiSNiazhgqbbLcmUui9auwuKw1J3,36,1
381,kkr68hSnSuUzBBNtEdQd6D5yR7q1,32,5
384,l2QfJYOCv1hsMAEhbpCRsrgKkAn1,32,4
390,vTzwymFqwre9vxnyj5N5x8ACRLF2,32,4
391,gwsXOVNC94e5sEthl8Q3qMKgtXE3,32,5
392,VhoToydYelOpL1I2MfsvNYschQA2,32,3
393,WpnndjDJjwO9U82Mvm2klJrSrDP2,32,5
395,8sv1ZRgqqgWs9LtzE3TI9gEf1Jj2,35,5
397,yVMhdTIMJlSnpSvnWSj431oL3jr2,35,5
399,xKLnyj4lFgWYrlDiKzFIvriYcZJ2,35,5
401,EA2LB8VKa0XY0mkoibCHoq9sigr1,35,3
404,GVHdHUcOgheAHmN7RkCh5xaSivK2,35,5
405,z2yhZ8PX2fREYgLFLBztRWdFOMg2,35,4
409,29ikEcMCHIYTQIJpzlhb83X7Ep62,35,5
412,ZK1r0yVo7DU4FF5Zd1ouamcoz6o2,35,2
417,XMSVD0eKMVdutKePu9YEJOl9J4u1,28,4
421,3e8uZjrH0JfvcBCv6wVjxq6ZRb62,28,5
422,DwdbXLxXLVd2H30ajtZjQTm5qRw1,28,5
425,UuGXSVfpu2VQJhX9eEgUuEiEdKb2,28,4
429,z8pzIfbT2EN2kMgQrKYhiKWS00H2,38,5
431,CL6toAn9HzY0h7h65ZEj6nLI1552,38,3
432,3rRGFDIj6rTdKH5dvrolS8BTpGH2,38,5
433,ghnlkPgqsuX0SHqFZS2ASGNi46j1,38,5
434,yrhgvWcB4pNV4JojxylQGtqkge62,38,4
435,eIqBk1gn3xOcUkHtguhekdVv4kg1,38,5
437,1CAwkpl31MYYvntQerw1MH15m3f2,38,4
439,mC64NB45OhOe0SrFIBRLVrzyvkX2,38,5
442,YuVFdyDWFiW4GW9OHpGNzsvdIez1,38,5
443,741l32KW9Yc1pMEV9GAAjXm9rIs2,38,5
447,mUCUqKzDOCh1MdvXUvlW59tvhRi1,39,5
448,f3DxjK9YCQbqm3tlTRkZYoXdtF52,39,5
450,1CAwkpl31MYYvntQerw1MH15m3f2,39,4
451,HaPfVHN2NoXj5ExYLHk5uqhoZHZ2,39,5
452,bLkMkqRHIIZL2c9NtVAfbxsrlZV2,39,5
454,NFq5prMWTpZtJpPOSyJegScRu5w1,39,1
455,dfrExe4bXPY1WuAfzefwnBQb4a13,39,4
456,2LWWpjRxdyX5yAgwldBnzL9N0Yh2,39,5
458,AnRZyvscl5gkd06ZyvYCVjWhI6A2,39,5
459,qjp7Oz0rukZanndeyuQzGPcLT6g1,39,5
460,JL67np7335VwiOMLwwzYUppnoHS2,39,5
462,pd9PR8OzBRUfXXWgy975AlGUVFO2,39,4
37,KKzj3CUCS1ZDNmKc1ijRLHIAQkm2,11,5
10,38bFcizPjFP1ZGrXp7DCcbOVxQW2,8,4
16,GEF1ME5013V58DUnnkYYG2UGQV02,8,4
17,U5Nw32MZaWb21uMMHVuNF5SvJhx1,8,5
14,ykdGhZsMI4N03O5WqkpI5OtPbRz1,8,4
19,TY16uG9IThXfQKeq4v3Lk8TGiHl2,9,1
22,P9VBUzjp3JMwB4JpgNk7lwHEi6q1,9,4
